Day,cell_count_mean,cell_count_sem,mean_area_mean,mean_area_sem,equivalent_diameter_area_mean,equivalent_diameter_area_sem,perimeter_mean,perimeter_sem,perimeter_crofton_mean,perimeter_crofton_sem,axis_major_length_mean,axis_major_length_sem,axis_minor_length_mean,axis_minor_length_sem,solidity_mean,solidity_sem,eccentricity_mean,eccentricity_sem,extent_mean,extent_sem,feret_diameter_max_mean,feret_diameter_max_sem,num_pixels_mean,num_pixels_sem,roundness(circularity)_mean,roundness(circularity)_sem,porosity(Rs)_mean,porosity(Rs)_sem,ics_area_mean,ics_area_sem,ics_ratio_mean,ics_ratio_sem,equivalent_diameter_area_um_mean,equivalent_diameter_area_um_sem,perimeter_um_mean,perimeter_um_sem,perimeter_crofton_um_mean,perimeter_crofton_um_sem,axis_major_length_um_mean,axis_major_length_um_sem,axis_minor_length_um_mean,axis_minor_length_um_sem,feret_diameter_max_um_mean,feret_diameter_max_um_sem,mean_area_um2_mean,mean_area_um2_sem,ics_area_um2_mean,ics_area_um2_sem,num_pixels_um2_mean,num_pixels_um2_sem
NB-D1,425.2908864045813,19.32449556380365,1559.2913573774347,73.12573694863146,41.931621908267424,0.9743948883251449,149.92765973517763,3.5089059378003484,145.07333170870345,3.334841907149924,50.40592918810344,1.1573607270713262,36.528466142680436,0.8547675879922335,0.9420871815376834,0.0013993181918416947,0.6470725498734033,0.003569104465017906,0.682122311150609,0.0020798160520504798,53.18629603931513,1.2134557782685282,1559.2913573774347,73.12573694863146,0.8247607124348878,0.0027119772391877967,0.9364625106316903,0.004927514513367663,42506.58038739923,3296.5072094429647,0.0635374893683097,0.004927514513367662,68.21983809597397,1.5852728441677548,243.9218949273576,5.708746384635907,236.02424019901707,5.425556289693186,82.00694778304198,1.882945562949414,59.429278733828305,1.390647530641291,86.53041164647239,1.9742083173220044,4127.293164048266,193.55674152628757,112510.80039015149,8725.535228806153,4127.293164048266,193.55674152628757
NB-D2,379.50564182194614,12.605159833031252,1642.9263656527392,55.26342952495478,43.19341120918578,0.7132265273110585,155.60272344839478,2.7165990533325615,150.50798773997585,2.5771660232672837,52.446946138427165,0.9250082682468332,37.371167724675324,0.6002834984523238,0.938768056618798,0.0007412700451319307,0.6601423221885512,0.003525190710606343,0.6735514014211262,0.0014185849197719145,55.493993390274255,0.9781047742347247,1642.9263656527392,55.26342952495478,0.8155119366337594,0.0024301942806469815,0.9047845621666737,0.007786461597035931,63699.12791049529,5209.1428084170375,0.09521543783332627,0.0077864615970359334,70.27268169950057,1.1603700502059737,253.15482964538427,4.419718082821975,244.86604830679298,4.192870221866495,85.32754068085141,1.5049242415494155,60.80029571029248,0.9766195823688907,90.28487504408068,1.5913085710151385,4348.666928673211,146.276944216397,168605.42062068635,13788.096369552777,4348.666928673211,146.276944216397
NB-D3,325.15202471139975,8.615460625680155,1942.4081722481442,43.771331780245674,46.844176731389304,0.5220380825577763,168.5897194962063,2.0458339168109223,162.8048924218065,1.943353527353705,56.702133295319186,0.7056054599162813,40.633120719148216,0.43802416231587155,0.9418234929022606,0.0011056965313324557,0.6552356597193011,0.0034570084179261743,0.6775985081954613,0.0016485626608590165,59.855838635349905,0.7389005501537096,1942.4081722481442,43.771331780245674,0.8185299728644536,0.0025469489516738893,0.925898625172093,0.008405635642746143,49573.819759869766,5623.370244997169,0.07410137482790692,0.008405635642746143,76.21222378055667,0.8493197222357506,274.2837707026363,3.328429767906874,264.87225861535995,3.161701288095668,92.25043480467748,1.1479711025829211,66.10726679875744,0.7126349059591642,97.38129447354436,1.2021399031687245,5141.366257935798,115.85847480213255,131217.09835857534,14884.5162652122,5141.366257935798,115.85847480213255
NB-D4,252.47363699102826,10.126797038549975,2313.937514476776,69.02779678849461,51.14312490482664,0.7705525653712592,185.5292251610383,2.9181247823295013,178.95287582474458,2.7715059144165366,62.5823301213369,0.9787707979130703,44.05903444903248,0.6572995977730046,0.9408194914740362,0.000694547688377864,0.6671682908238032,0.0023630084749437287,0.6745098792631247,0.001199684647393277,66.09863867280934,1.0364947830667393,2313.937514476776,69.02779678849461,0.8088234310064119,0.0019002528288933611,0.8451285729600799,0.020155628649279726,103608.98468970643,13484.115566368138,0.15487142703991988,0.02015562864927973,83.20631404056294,1.2536355347537937,301.8431705371756,4.747586454677955,291.14390667454717,4.509047734360405,101.81710685759649,1.5923921453067365,71.6809906221471,1.0693808181023914,107.53789678081299,1.6863050621515125,6124.768434295332,182.7098909171377,274242.9451818593,35691.147608174004,6124.768434295332,182.7098909171377
NB-D5,239.63289322673515,7.024182474637304,2462.3896608496693,63.74002095283212,52.728864443456125,0.6662209299201051,192.08864347795782,2.735963230058804,185.21163333611003,2.599962452303782,64.88175124125803,0.9857095837243048,45.262000198290444,0.5189014658063537,0.9400338322607155,0.001071842880757777,0.672207594940868,0.004375639583126034,0.6729407348614886,0.002154993078520346,68.4882719785669,1.0385644857229028,2462.3896608496693,63.74002095283212,0.8036661272447541,0.003235208470947598,0.8592857909202577,0.012632965827352632,94137.80587434761,8451.45413849891,0.14071420907974225,0.012632965827352636,85.78620219333573,1.0838952062175717,312.51488880657524,4.451222254161112,301.326470684148,4.229958429459286,105.5581054018134,1.6036810681550013,73.63813239045062,0.8442166645143184,111.42566428916648,1.6896723247014598,6517.706884197113,168.7136605421708,249173.6523937205,22370.180356005585,6517.706884197113,168.7136605421708
NB-P1,207.58667208336328,6.338546622819354,2994.5568889057467,90.33047961615037,57.33197972735402,0.8263690943546349,211.59824899130535,3.17596382106652,203.66881016950424,3.0140235818691274,71.9006749041399,1.0953965934068928,48.6577441829682,0.6791670086005474,0.9334903496044772,0.0010711718422275658,0.6931230684039864,0.0032073112005572757,0.6638783205046485,0.0015631051039271772,75.77042191262716,1.1553929353410322,2994.5568889057467,90.33047961615037,0.7864327140253891,0.002351875092111379,0.9001002101465533,0.012495657338425158,66832.95941195583,8359.59475940643,0.09989978985344665,0.012495657338425156,93.27515122782806,1.3444451528185402,344.2556626871695,5.167072672405036,331.35501615843253,4.9036071445645435,116.97740697181526,1.7821342188141303,79.1627721326691,1.104957577558457,123.27321673011438,1.8797441024015498,7926.301982280962,239.09602862930214,176900.36900994135,22127.037478577102,7926.301982280962,239.09602862930214
NB-P2,191.71900482415185,4.8871911676277895,3139.6890869615454,82.11752204596102,59.33069003248321,0.7077026034128514,217.44416602084718,2.863558527650209,209.27970833170647,2.7144121104333503,73.6603744395864,1.0458674166675648,50.58813544638712,0.5365996363025641,0.9397199793015689,0.0006979601341221542,0.6823858645439563,0.003100350132980873,0.6691905492844504,0.0012038325379818866,77.7324294085184,1.089641984210632,3139.6890869615454,82.11752204596102,0.7974959151796076,0.0022045759678487363,0.8797974176591777,0.009961062973547713,80415.52758601012,6663.951129303421,0.12020258234082226,0.009961062973547714,96.52691415068762,1.1513830094753625,353.7665638908077,4.6588109461162155,340.4835579791095,4.416160078535002,119.8403159637055,1.701553686404111,82.3033847171386,0.8730103593656108,126.4652667301264,1.772771869116965,8310.452850612879,217.35712558486244,212852.1111329013,17638.833057976233,8310.452850612879,217.35712558486244
NB-P3,181.73283019064266,4.703648509588743,3088.6430991147813,55.841740402808725,59.07904037208448,0.49242417348861234,217.53983219761116,2.025025828116116,209.41003153409793,1.922859658774508,73.98719516467621,0.759560136310358,50.057444095411235,0.3809568680369577,0.9371813475454763,0.0009606347347900613,0.6932148254310132,0.0029053081228214007,0.6633307888233537,0.0016088981548092354,78.08195392385299,0.7908240033555474,3088.6430991147813,55.841740402808725,0.7908164868799309,0.002581962681711884,0.8270441235933038,0.016551904678010328,115707.48131607975,11073.224229588912,0.17295587640669616,0.016551904678010328,96.1174976218716,0.8011399478757955,353.9222061195862,3.2945764520262784,340.69558478281255,3.1283591865310902,120.37203059665747,1.2357516157282735,81.4399867278667,0.6197903795823964,127.03391885378771,1.2866157571808217,8175.339065947013,147.80767708525335,306266.49368999404,29309.751798806014,8175.339065947013,147.80767708525335
NB-P4,160.58777056277057,6.374095024586668,3338.10688757616,88.66514732893047,61.38666763103893,0.7654547432680217,225.7237861464514,3.1619130707998475,217.18363417298949,3.000472402442494,76.64497436958843,1.1389699488923104,52.14190387838369,0.6064232130649084,0.9393212644909014,0.000998070375759817,0.6871984367223191,0.003323429225180327,0.6683234387368509,0.002113170074690788,80.81693439560391,1.2007517064191122,3338.10688757616,88.66514732893047,0.7942587766161789,0.0031428741623790155,0.7863520268787695,0.025272076532621805,142930.4940181031,16907.019200323986,0.21364797312123027,0.025272076532621812,99.87184698465381,1.2453417320650788,367.2369310924524,5.14421307707585,353.3426966595666,4.88156031631362,124.69605286917086,1.853025043476638,84.83125809874379,0.9866084718457233,131.4835422284016,1.9535396742959175,8835.645546787082,234.68805539685138,378323.17103785893,44751.241927803036,8835.645546787082,234.68805539685138
NB-P5,119.64233044733047,7.566743449359696,4015.062547474524,112.16754131815752,67.8653647273928,0.9193218729702763,250.01475139638586,3.6763178527613336,240.45193446364368,3.4453574359609247,84.9921604166365,1.2785825252379568,57.418091652653324,0.7029832109504854,0.9395092233684309,0.001197507490165633,0.6912262392654016,0.005296326655522371,0.6670551755836197,0.001922007990729657,89.76031721122459,1.3562393302813907,4015.062547474524,112.16754131815752,0.7920081098891101,0.0030870144593960393,0.715285275620825,0.042195669733298496,190474.1506096681,28228.903051576694,0.284714724379175,0.0421956697332985,110.41223743158227,1.4956728711644338,406.75664535894805,5.981113949118875,391.1986060271928,5.605357383461296,138.27634513481107,2.0801650137667913,93.41524935269675,1.1437048855430643,146.03380525058307,2.2065072449045084,10627.481597338603,296.89661545303744,504166.62416534714,74719.17165584091,10627.481597338603,296.89661545303744
